1
2.0000000000E2 -8.3787753890E-1 4.9192661823E-1 1.2754647539E-1
2.0001000000E2 -8.3295256723E-1 4.9318930414E-1 1.2471083062E-1
2.0002000000E2 -8.2801509603E-1 4.9442373442E-1 1.2189761830E-1
2.0003000000E2 -8.2306540686E-1 4.9563013406E-1 1.1910698098E-1
2.0004000000E2 -8.1810377899E-1 4.9680872940E-1 1.1633905396E-1
2.0005000000E2 -8.1313048946E-1 4.9795974815E-1 1.1359396537E-1
2.0006000000E2 -8.0814581299E-1 4.9908341924E-1 1.1087183627E-1
2.0007000000E2 -8.0315002203E-1 5.0017997277E-1 1.0817278071E-1
2.0008000000E2 -7.9814338672E-1 5.0124963997E-1 1.0549690580E-1
2.0009000000E2 -7.9312617486E-1 5.0229265311E-1 1.0284431180E-1
2.0010000000E2 -7.8809865197E-1 5.0330924542E-1 1.0021509219E-1
2.0011000000E2 -7.8306108118E-1 5.0429965104E-1 9.7609333786E-2
2.0012000000E2 -7.7801372331E-1 5.0526410495E-1 9.5027116756E-2
2.0013000000E2 -7.7295683682E-1 5.0620284289E-1 9.2468514768E-2
2.0014000000E2 -7.6789067781E-1 5.0711610134E-1 8.9933595040E-2
2.0015000000E2 -7.6281550000E-1 5.0800411738E-1 8.7422418434E-2
2.0016000000E2 -7.5773155474E-1 5.0886712871E-1 8.4935039542E-2
2.0017000000E2 -7.5263909102E-1 5.0970537351E-1 8.2471506770E-2
2.0018000000E2 -7.4753835542E-1 5.1051909046E-1 8.0031862427E-2
2.0019000000E2 -7.4242959215E-1 5.1130851859E-1 7.7616142813E-2
2.0020000000E2 -7.3731304302E-1 5.1207389731E-1 7.5224378307E-2
2.0021000000E2 -7.3218894744E-1 5.1281546627E-1 7.2856593456E-2
2.0022000000E2 -7.2705754244E-1 5.1353346536E-1 7.0512807062E-2
2.0023000000E2 -7.2191906262E-1 5.1422813463E-1 6.8193032277E-2
2.0024000000E2 -7.1677374022E-1 5.1489971423E-1 6.5897276689E-2
2.0025000000E2 -7.1162180504E-1 5.1554844438E-1 6.3625542414E-2
2.0026000000E2 -7.0646348450E-1 5.1617456527E-1 6.1377826185E-2
2.0027000000E2 -7.0129900361E-1 5.1677831705E-1 5.9154119447E-2
2.0028000000E2 -6.9612858498E-1 5.1735993975E-1 5.6954408445E-2
2.0029000000E2 -6.9095244882E-1 5.1791967326E-1 5.4778674315E-2
2.0030000000E2 -6.8577081294E-1 5.1845775724E-1 5.2626893180E-2
2.0031000000E2 -6.8058389278E-1 5.1897443109E-1 5.0499036234E-2
2.0032000000E2 -6.7539190133E-1 5.1946993391E-1 4.8395069843E-2
2.0033000000E2 -6.7019504926E-1 5.1994450443E-1 4.6314955627E-2
2.0034000000E2 -6.6499354479E-1 5.2039838099E-1 4.4258650560E-2
2.0035000000E2 -6.5978759381E-1 5.2083180147E-1 4.2226107053E-2
2.0036000000E2 -6.5457739981E-1 5.2124500325E-1 4.0217273055E-2
2.0037000000E2 -6.4936316390E-1 5.2163822318E-1 3.8232092135E-2
2.0038000000E2 -6.4414508484E-1 5.2201169751E-1 3.6270503578E-2
2.0039000000E2 -6.3892335903E-1 5.2236566189E-1 3.4332442476E-2
2.0040000000E2 -6.3369818050E-1 5.2270035128E-1 3.2417839814E-2
2.0041000000E2 -6.2846974096E-1 5.2301599994E-1 3.0526622566E-2
2.0042000000E2 -6.2323822975E-1 5.2331284138E-1 2.8658713780E-2
2.0043000000E2 -6.1800383391E-1 5.2359110832E-1 2.6814032670E-2
2.0044000000E2 -6.1276673813E-1 5.2385103267E-1 2.4992494702E-2
2.0045000000E2 -6.0752712480E-1 5.2409284546E-1 2.3194011687E-2
2.0046000000E2 -6.0228517399E-1 5.2431677683E-1 2.1418491867E-2
2.0047000000E2 -5.9704106350E-1 5.2452305599E-1 1.9665840000E-2
2.0048000000E2 -5.9179496881E-1 5.2471191118E-1 1.7935957451E-2
2.0049000000E2 -5.8654706314E-1 5.2488356963E-1 1.6228742277E-2
2.0050000000E2 -5.8129751744E-1 5.2503825754E-1 1.4544089311E-2
2.0051000000E2 -5.7604650040E-1 5.2517620006E-1 1.2881890252E-2
2.0052000000E2 -5.7079417847E-1 5.2529762122E-1 1.1242033745E-2
2.0053000000E2 -5.6554071585E-1 5.2540274394E-1 9.6244054670E-3
2.0054000000E2 -5.6028627453E-1 5.2549178998E-1 8.0288882123E-3
2.0055000000E2 -5.5503101429E-1 5.2556497990E-1 6.4553619722E-3
2.0056000000E2 -5.4977509269E-1 5.2562253307E-1 4.9037040186E-3
2.0057000000E2 -5.4451866512E-1 5.2566466760E-1 3.3737889854E-3
2.0058000000E2 -5.3926188480E-1 5.2569160036E-1 1.8654889488E-3
2.0059000000E2 -5.3400490276E-1 5.2570354691E-1 3.7867350733E-4
2.0060000000E2 -5.2874786790E-1 5.2570072150E-1 -1.0867901390E-3
2.0061000000E2 -5.2349092699E-1 5.2568333704E-1 -2.5310371105E-3
2.0062000000E2 -5.1823422467E-1 5.2565160508E-1 -3.9542047704E-3
2.0063000000E2 -5.1297790345E-1 5.2560573579E-1 -5.3564326479E-3
2.0064000000E2 -5.0772210378E-1 5.2554593793E-1 -6.7378623624E-3
2.0065000000E2 -5.0246696400E-1 5.2547241884E-1 -8.0986375486E-3
2.0066000000E2 -4.9721262040E-1 5.2538538441E-1 -9.4389037822E-3
2.0067000000E2 -4.9195920721E-1 5.2528503906E-1 -1.0758808507E-2
2.0068000000E2 -4.8670685663E-1 5.2517158575E-1 -1.2058500961E-2
