1
0.0000000000E-1 4.7000000000E-1 0.0000000000E-1 2.0000000000E-1 0.0000000000E-1
1.0000000000E-2 4.6998065014E-1 -4.2999298424E-3 1.9999945994E-1 -1.2002826101E-4
2.0000000000E-2 4.6991830254E-1 -8.5994344970E-3 1.9999771897E-1 -2.4022779601E-4
3.0000000000E-2 4.6981296338E-1 -1.2898088825E-2 1.9999477461E-1 -3.6076985476E-4
4.0000000000E-2 4.6966464306E-1 -1.7195467787E-2 1.9999062266E-1 -4.8182563853E-4
5.0000000000E-2 4.6947335625E-1 -2.1491146491E-2 1.9998525720E-1 -6.0356627583E-4
6.0000000000E-2 4.6923912186E-1 -2.5784700241E-2 1.9997867063E-1 -7.2616279803E-4
7.0000000000E-2 4.6896196306E-1 -3.0075704589E-2 1.9997085362E-1 -8.4978611497E-4
8.0000000000E-2 4.6864190725E-1 -3.4363735381E-2 1.9996179512E-1 -9.7460699045E-4
9.0000000000E-2 4.6827898607E-1 -3.8648368809E-2 1.9995148240E-1 -1.1007960176E-3
1.0000000000E-1 4.6787323540E-1 -4.2929181457E-2 1.9993990100E-1 -1.2285235941E-3
1.1000000000E-1 4.6742469535E-1 -4.7205750354E-2 1.9992703478E-1 -1.3579598974E-3
1.2000000000E-1 4.6693341026E-1 -5.1477653019E-2 1.9991286589E-1 -1.4892748595E-3
1.3000000000E-1 4.6639942869E-1 -5.5744467512E-2 1.9989737476E-1 -1.6226381418E-3
1.4000000000E-1 4.6582280342E-1 -6.0005772483E-2 1.9988054017E-1 -1.7582191097E-3
1.5000000000E-1 4.6520359145E-1 -6.4261147220E-2 1.9986233916E-1 -1.8961868069E-3
1.6000000000E-1 4.6454185395E-1 -6.8510171698E-2 1.9984274712E-1 -2.0367099294E-3
1.7000000000E-1 4.6383765633E-1 -7.2752426627E-2 1.9982173772E-1 -2.1799567996E-3
1.8000000000E-1 4.6309106816E-1 -7.6987493502E-2 1.9979928299E-1 -2.3260953396E-3
1.9000000000E-1 4.6230216320E-1 -8.1214954651E-2 1.9977535324E-1 -2.4752930449E-3
2.0000000000E-1 4.6147101939E-1 -8.5434393280E-2 1.9974991713E-1 -2.6277169569E-3
2.1000000000E-1 4.6059771883E-1 -8.9645393528E-2 1.9972294165E-1 -2.7835336359E-3
2.2000000000E-1 4.5968234775E-1 -9.3847540506E-2 1.9969439213E-1 -2.9429091336E-3
2.3000000000E-1 4.5872499657E-1 -9.8040420355E-2 1.9966423223E-1 -3.1060089647E-3
2.4000000000E-1 4.5772575982E-1 -1.0222362029E-1 1.9963242396E-1 -3.2729980789E-3
2.5000000000E-1 4.5668473613E-1 -1.0639672863E-1 1.9959892770E-1 -3.4440408319E-3
2.6000000000E-1 4.5560202828E-1 -1.1055933488E-1 1.9956370217E-1 -3.6193009564E-3
2.7000000000E-1 4.5447774314E-1 -1.1471102976E-1 1.9952670446E-1 -3.7989415327E-3
2.8000000000E-1 4.5331199164E-1 -1.1885140524E-1 1.9948789003E-1 -3.9831249585E-3
2.9000000000E-1 4.5210488883E-1 -1.2298005461E-1 1.9944721274E-1 -4.1720129187E-3
3.0000000000E-1 4.5085655377E-1 -1.2709657251E-1 1.9940462480E-1 -4.3657663544E-3
3.1000000000E-1 4.4956710962E-1 -1.3120055498E-1 1.9936007684E-1 -4.5645454316E-3
3.2000000000E-1 4.4823668353E-1 -1.3529159951E-1 1.9931351789E-1 -4.7685095097E-3
3.3000000000E-1 4.4686540669E-1 -1.3936930509E-1 1.9926489538E-1 -4.9778171090E-3
3.4000000000E-1 4.4545341429E-1 -1.4343327225E-1 1.9921415518E-1 -5.1926258781E-3
3.5000000000E-1 4.4400084550E-1 -1.4748310310E-1 1.9916124155E-1 -5.4130925604E-3
3.6000000000E-1 4.4250784348E-1 -1.5151840139E-1 1.9910609722E-1 -5.6393729606E-3
3.7000000000E-1 4.4097455531E-1 -1.5553877255E-1 1.9904866336E-1 -5.8716219104E-3
3.8000000000E-1 4.3940113206E-1 -1.5954382373E-1 1.9898887959E-1 -6.1099932333E-3
3.9000000000E-1 4.3778772867E-1 -1.6353316383E-1 1.9892668398E-1 -6.3546397099E-3
4.0000000000E-1 4.3613450401E-1 -1.6750640358E-1 1.9886201312E-1 -6.6057130413E-3
4.1000000000E-1 4.3444162083E-1 -1.7146315557E-1 1.9879480205E-1 -6.8633638130E-3
4.2000000000E-1 4.3270924574E-1 -1.7540303429E-1 1.9872498432E-1 -7.1277414578E-3
4.3000000000E-1 4.3093754920E-1 -1.7932565614E-1 1.9865249200E-1 -7.3989942179E-3
4.4000000000E-1 4.2912670551E-1 -1.8323063957E-1 1.9857725568E-1 -7.6772691074E-3
4.5000000000E-1 4.2727689274E-1 -1.8711760500E-1 1.9849920447E-1 -7.9627118725E-3
4.6000000000E-1 4.2538829280E-1 -1.9098617495E-1 1.9841826604E-1 -8.2554669530E-3
4.7000000000E-1 4.2346109131E-1 -1.9483597407E-1 1.9833436664E-1 -8.5556774420E-3
4.8000000000E-1 4.2149547768E-1 -1.9866662914E-1 1.9824743105E-1 -8.8634850453E-3
4.9000000000E-1 4.1949164500E-1 -2.0247776915E-1 1.9815738269E-1 -9.1790300401E-3
5.0000000000E-1 4.1744979010E-1 -2.0626902535E-1 1.9806414355E-1 -9.5024512337E-3
5.1000000000E-1 4.1537011347E-1 -2.1004003125E-1 1.9796763425E-1 -9.8338859206E-3
5.2000000000E-1 4.1325281924E-1 -2.1379042269E-1 1.9786777404E-1 -1.0173469840E-2
